facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F0064,Central,7.6,3.5,High,Yes,400,0,2024-11-27
F0065,North,6.6,3.9,Low,Yes,233,1,2024-12-18
F0066,East,6.3,3.2,Low,Yes,451,0,2024-03-08
F0067,West,8.8,5.1,Medium,Yes,499,2,2024-10-28
F0068,Central,5.3,2.2,Low,No,98,1,2024-10-10
F0069,East,8.5,3.6,Low,Yes,340,1,2024-07-25
F0070,South,7.3,2.5,Low,Yes,169,1,2024-06-20
F0071,South,5.8,3.3,Medium,Yes,312,0,2024-12-01
F0072,East,6.6,2.0,Low,Yes,180,0,2024-05-06
F0073,East,5.6,4.3,Low,Yes,234,1,2024-02-10
F0074,West,,3.2,Medium,Yes,400,1,2024-03-23
F0075,Central,7.5,4.4,Low,Yes,402,0,2024-07-30
F0076,North,6.2,1.5,Medium,No,225,2,2024-01-03
F0077,Central,5.3,2.4,Low,Yes,51,0,2024-11-22
F0078,East,7.5,1.9,Medium,Yes,343,0,2024-11-30
F0079,South,8.4,2.4,Low,Yes,316,1,2024-08-25
F0080,West,6.8,2.2,Low,Yes,301,2,2024-03-19
F0081,East,7.6,2.9,Low,Yes,410,4,2024-08-05
F0082,South,6.4,3.0,Medium,Yes,475,3,2024-03-06
F0083,South,,3.0,Low,Yes,194,1,2024-07-04
F0084,West,6.6,2.3,Low,No,320,0,2024-02-26
F0085,East,7.4,3.2,Medium,Yes,236,1,2024-02-01
F0086,East,4.7,4.1,Medium,Yes,412,1,2024-11-21
F0087,South,8.0,1.9,Low,Yes,165,2,2024-02-16
F0088,West,6.7,3.0,Low,Yes,144,2,2024-05-30
F0089,South,7.5,2.9,Medium,Yes,238,2,2024-10-01
F0090,South,,3.6,Low,Yes,368,3,2024-04-23
F0091,Central,7.5,2.9,Low,Yes,335,0,2024-03-28
F0092,South,5.4,3.0,High,Yes,117,2,2024-10-19
F0093,South,8.8,1.8,High,Yes,20,1,2024-10-18
F0094,West,4.4,3.0,High,Yes,314,2,2024-01-04
F0095,West,5.4,1.9,Low,No,40,2,2024-02-04
F0096,North,7.4,3.6,Low,Yes,127,1,2024-08-16
F0097,North,9.2,2.9,Medium,No,270,1,2024-10-08
F0098,South,7.4,3.0,Medium,Yes,417,2,2024-08-25
F0099,Central,6.6,1.9,High,Yes,115,2,2024-06-10
F0100,East,4.9,4.0,Low,Yes,203,2,2024-05-30
F0101,West,6.7,3.8,Medium,Yes,127,2,2024-10-20
F0102,South,7.0,4.0,Low,Yes,429,3,2024-02-08
F0103,South,9.5,5.7,Medium,Yes,230,0,2024-01-06
F0104,West,7.9,2.9,High,Yes,147,1,2024-10-19
F0105,Central,4.7,4.4,Low,Yes,285,1,2024-09-30
F0106,North,10.0,2.9,High,No,56,1,2024-05-14
F0107,North,,3.5,Low,Yes,376,1,2024-05-30
F0108,West,5.7,3.4,Low,Yes,397,4,2024-12-25
F0109,South,9.2,3.3,Low,No,116,0,2024-12-19
F0110,East,6.9,3.8,Medium,Yes,90,1,2024-07-20
F0111,North,6.4,2.6,High,Yes,436,0,2024-04-01
F0112,Central,,3.0,Medium,Yes,187,3,2024-08-19
F0113,East,8.3,3.6,High,Yes,426,1,2024-05-28
F0114,Central,8.5,5.1,Low,Yes,280,1,2024-12-10
F0115,West,4.9,2.0,Low,Yes,297,1,2024-08-30
F0116,West,10.0,0.8,Medium,Yes,498,2,2024-04-21
F0117,South,8.4,2.4,Medium,Yes,82,3,2024-09-14
F0118,West,,3.1,High,Yes,254,2,2024-10-22
F0119,North,5.8,3.2,Medium,Yes,228,0,2024-09-08
F0120,East,5.5,3.1,High,Yes,44,1,2024-04-17
F0121,East,7.2,4.4,Low,Yes,51,2,2024-10-30
F0122,Central,6.0,4.2,Medium,Yes,326,1,2024-03-01
F0123,North,5.9,2.9,High,Yes,484,5,2024-12-07
F0124,Central,8.2,2.4,Low,Yes,405,3,2024-08-01
F0125,North,7.5,2.6,Medium,Yes,93,1,2024-09-20
F0126,West,6.4,2.6,High,Yes,260,4,2024-06-13
F0127,East,8.1,2.7,High,Yes,441,1,2024-07-06
F0128,Central,9.1,1.1,High,Yes,56,2,2024-12-01
F0129,South,5.4,2.4,Low,Yes,272,4,2024-09-29
F0130,Central,6.1,2.5,Low,Yes,361,2,2024-07-23
F0131,West,8.4,2.8,Medium,Yes,171,1,2024-12-24
F0132,Central,8.1,2.7,High,Yes,454,3,2024-09-15
F0133,North,7.3,3.8,Low,Yes,58,2,2024-01-02
F0134,West,8.7,2.4,Medium,Yes,51,5,2024-01-08
F0135,Central,5.4,2.5,Medium,Yes,291,1,2024-10-05
F0136,North,4.8,3.7,Low,No,153,2,2024-03-15
F0137,South,5.7,2.7,High,Yes,208,1,2024-06-06
F0138,West,7.2,3.3,Medium,Yes,106,1,2024-01-23
F0139,North,5.8,3.8,High,No,76,3,2024-09-06
F0140,East,6.3,3.5,High,Yes,121,2,2024-06-15
F0141,West,5.5,3.3,High,Yes,58,4,2024-03-19
F0142,West,6.1,2.8,Low,Yes,182,0,2024-03-29
F0143,Central,5.5,3.8,Medium,Yes,245,2,2024-03-24
F0144,East,7.6,3.2,High,Yes,97,3,2024-08-08
F0145,East,8.2,2.4,High,Yes,85,2,2024-10-09
F0146,East,6.3,2.8,Medium,Yes,104,2,2024-01-23
F0147,Central,6.7,1.5,Low,No,148,3,2024-10-04
F0148,North,6.1,1.8,Medium,Yes,291,2,2024-07-21
F0149,East,7.8,0.7,Low,No,490,3,2024-08-30
F0150,North,7.1,2.2,High,Yes,375,0,2024-01-25
F0151,East,9.4,4.6,Medium,Yes,359,0,2024-01-17
F0152,Central,5.4,2.3,Low,Yes,221,3,2024-06-01
F0153,West,7.5,3.9,High,Yes,367,0,2024-06-08
F0154,South,7.7,3.0,Medium,Yes,454,3,2024-01-16
F0155,Central,6.5,2.2,Low,Yes,488,1,2024-04-05
F0156,West,7.9,4.6,High,Yes,43,1,2024-11-07
F0157,Central,4.8,3.7,Low,No,108,4,2024-01-23
F0158,North,10.0,0.9,Low,Yes,206,1,2024-09-14
F0159,East,5.0,4.2,Low,No,451,1,2024-03-14
F0160,Central,8.4,1.7,Medium,Yes,349,1,2024-08-17
F0161,West,5.3,2.8,Low,Yes,59,3,2024-08-19
F0162,East,,3.8,Low,Yes,311,2,2024-08-25
F0163,East,6.4,2.6,Medium,Yes,345,1,2024-04-25
F0164,East,7.2,4.3,High,Yes,291,1,2024-08-23
F0165,East,7.1,3.9,Low,No,152,0,2024-11-08
F0166,South,8.7,1.1,Medium,Yes,326,0,2024-04-19
F0167,West,6.5,2.4,Low,Yes,423,2,2024-09-17
F0168,North,,3.3,High,Yes,461,2,2024-08-27
F0169,East,5.9,2.3,Low,Yes,454,2,2024-03-25
F0170,South,7.3,2.7,Low,Yes,300,0,2024-03-21
F0171,West,6.3,4.0,High,Yes,272,2,2024-11-14
F0172,West,8.2,3.4,Medium,Yes,25,1,2024-09-24
F0173,West,8.5,1.9,Low,Yes,207,2,2024-01-22
F0174,Central,6.8,3.2,Low,Yes,38,3,2024-04-24
F0175,Central,4.8,2.3,Low,Yes,191,1,2024-05-13
F0176,North,9.1,1.5,Low,Yes,491,1,2024-07-18
F0177,North,8.6,1.6,Medium,Yes,-50,0,2024-07-24
F0178,North,6.6,3.3,Medium,Yes,478,1,2024-01-11
F0179,West,10.0,3.0,Low,Yes,432,0,2024-07-28
F0180,Central,6.5,3.0,Low,Yes,115,0,2024-09-10
F0181,Central,5.3,1.6,Low,Yes,438,1,2024-02-02
F0182,West,6.8,2.8,High,Yes,331,0,2024-05-28
F0183,Central,8.6,1.8,Low,Yes,344,3,2024-09-19
F0184,Central,5.6,1.9,Medium,Yes,394,3,2024-08-26
F0185,North,9.9,2.8,Low,Yes,28,1,2024-12-12
F0186,North,5.7,1.3,Low,Yes,415,0,2024-07-25
F0187,Central,8.4,3.8,Low,Yes,228,1,2024-09-20
F0188,North,7.8,6.0,Low,Yes,389,1,2024-09-17
F0189,Central,6.8,3.6,Medium,Yes,462,1,2024-08-06
F0190,Central,8.6,1.7,High,Yes,179,2,2024-10-08
F0191,Central,4.8,2.7,Low,Yes,63,0,2024-04-11
F0192,South,9.0,1.1,Low,Yes,488,2,2024-09-01
F0193,North,6.9,2.5,Medium,No,194,3,2024-05-09
F0194,East,6.2,3.6,Medium,Yes,453,2,2024-02-27
F0195,Central,8.1,3.7,High,Yes,455,3,2024-01-11
F0196,South,8.6,1.8,Low,Yes,170,1,2024-06-11
F0197,Central,8.2,3.4,Low,Yes,155,1,2024-04-09
F0198,South,10.0,4.4,Low,No,329,1,2024-08-16
F0199,Central,8.6,5.1,Medium,Yes,394,2,2024-08-02
F0200,South,8.9,2.2,Low,Yes,41,2,2024-05-28
F0201,East,6.2,2.0,Low,Yes,159,3,2024-07-08
F0202,South,7.2,3.1,Medium,Yes,156,1,2024-04-19
F0203,South,7.8,0.0,High,Yes,222,1,2024-02-14
F0204,Central,7.0,2.4,Medium,Yes,138,1,2024-03-10
F0205,Central,7.5,2.7,Low,Yes,106,4,2024-05-06
F0206,North,7.6,2.4,High,Yes,493,1,2024-09-17
F0207,Central,8.3,1.1,Medium,Yes,443,2,2024-07-20
F0208,Central,6.8,2.7,Low,Yes,240,2,2024-08-11
F0209,South,6.5,2.1,Medium,Yes,468,3,2024-07-10
F0210,East,5.8,3.9,Low,Yes,188,2,2024-05-03
F0211,East,5.7,1.9,Low,Yes,328,1,2024-02-20
F0212,West,8.8,2.7,Low,Yes,397,1,2024-02-29
F0213,East,6.9,2.7,High,Yes,446,0,2024-10-30
F0214,North,8.2,3.7,Medium,Yes,386,1,2024-03-06
F0215,Central,5.1,0.0,Low,Yes,197,1,2024-11-08
F0216,West,4.1,2.6,Medium,Yes,92,4,2024-02-25
F0217,North,5.4,3.9,Medium,Yes,498,0,2024-11-09
F0218,Central,8.7,2.6,Medium,No,77,3,2024-02-26
F0219,West,8.6,1.2,Medium,Yes,421,1,2024-08-21
F0220,North,7.5,3.4,Low,Yes,182,1,2024-03-31
F0221,West,5.8,3.4,High,Yes,367,0,2024-10-05
F0222,East,6.8,2.7,Low,Yes,87,1,2024-12-06
F0223,North,6.6,1.6,Medium,Yes,52,1,2024-10-15
F0224,Central,6.5,2.1,Medium,No,102,2,2024-05-03
F0225,West,,2.6,High,Yes,452,1,2024-06-30
F0226,South,5.7,1.9,Medium,Yes,119,0,2024-10-18
F0227,North,6.7,0.7,Low,Yes,420,1,2024-03-01
F0228,North,9.3,2.1,Low,No,163,0,2024-04-24
F0229,West,7.2,2.9,Medium,Yes,184,1,2024-05-22
F0230,North,9.1,2.4,Low,No,340,1,2024-11-18
F0231,East,6.4,2.9,Low,Yes,250,2,2024-09-05
F0232,Central,6.6,3.1,Low,Yes,279,2,2024-06-03
F0233,Central,1.2,4.1,Medium,Yes,56,1,2024-09-27
F0234,South,7.7,5.6,Medium,No,180,4,2024-06-10
F0235,North,7.8,3.9,Low,Yes,163,2,2024-02-10
F0236,East,9.6,1.3,Low,Yes,276,0,2024-05-06
F0237,Central,6.3,0.0,Low,Yes,210,2,2024-02-12
F0238,West,7.1,2.9,High,Yes,61,1,2024-10-12
F0239,North,5.9,3.1,Medium,Yes,201,0,2024-05-02
F0240,West,5.2,1.6,Low,Yes,189,0,2024-10-27
F0241,South,5.9,3.3,High,Yes,390,1,2024-12-24
F0242,South,6.5,2.1,Medium,Yes,275,4,2024-05-19
F0243,East,9.0,3.5,Medium,Yes,449,1,2024-02-21
F0244,Central,7.0,2.6,Medium,No,152,1,2024-09-27
F0245,Central,5.8,3.5,Medium,Yes,221,1,2024-01-16
F0246,North,7.2,0.9,Low,Yes,459,2,2024-04-16
F0247,East,7.3,2.5,High,No,98,2,2024-03-14
F0248,West,6.0,2.8,Medium,Yes,189,1,2024-06-07
F0249,South,8.7,1.3,Low,No,454,2,2024-09-29
F0250,South,4.2,5.3,Low,Yes,373,1,2024-06-10
F0251,South,6.7,2.4,Low,No,88,0,2024-12-09
F0252,South,,4.7,High,Yes,72,1,2024-12-10
F0253,Central,5.0,2.2,High,Yes,311,2,2024-01-13
F0254,South,7.5,2.7,Low,Yes,439,1,2024-12-15
F0255,South,8.9,4.4,Low,Yes,268,3,2024-01-28
F0256,North,7.7,3.4,Medium,Yes,267,1,2024-02-21
F0257,North,4.5,3.2,Low,Yes,211,2,2024-10-02
F0258,West,5.9,3.3,Medium,Yes,329,1,2024-05-05
F0259,South,8.8,1.4,Low,Yes,89,1,2024-06-07
F0260,Central,7.4,2.5,Low,Yes,383,0,2024-07-15
F0261,East,7.0,1.9,Low,Yes,313,2,2024-02-24
F0262,Central,7.7,3.2,Low,Yes,81,3,2024-08-22
F0263,East,8.1,2.3,Medium,Yes,463,1,2024-10-25
F0264,West,5.9,2.9,Low,Yes,416,2,2024-02-04
F0265,Central,6.6,2.9,High,Yes,135,2,2024-02-12
F0266,North,7.2,3.0,Low,Yes,263,0,2024-07-03
F0267,East,6.2,3.0,High,Yes,474,2,2024-06-16
F0268,East,6.8,2.2,Low,Yes,177,0,2024-05-31
F0269,South,8.9,1.7,Low,Yes,271,2,2024-03-24
F0270,East,5.5,2.2,High,Yes,160,3,2024-10-19
F0271,East,9.9,4.3,Low,Yes,361,1,2024-11-07
F0272,East,9.8,3.4,Medium,Yes,276,2,2024-12-25
F0273,Central,4.4,3.7,Low,Yes,268,0,2024-06-10
F0274,Central,6.8,4.7,Medium,Yes,266,1,2024-09-01
F0275,West,7.5,1.6,High,Yes,98,1,2024-12-10
F0276,West,5.9,3.6,Low,Yes,456,3,2024-11-21
F0277,Central,5.9,1.7,Low,No,59,1,2024-09-02
F0278,West,6.6,2.6,Medium,Yes,162,4,2024-11-21
F0279,South,8.1,3.6,Medium,Yes,36,2,2024-02-19
F0280,North,6.2,4.9,Low,No,140,2,2024-04-13
F0281,East,9.7,2.1,Low,No,42,2,2024-06-24
F0282,South,7.4,2.9,High,Yes,281,1,2024-08-22
F0283,East,6.8,4.4,Low,Yes,235,2,2024-10-31
F0284,North,9.2,1.2,High,Yes,163,2,2024-04-07
F0285,Central,7.9,3.4,Low,Yes,187,1,2024-02-21
F0286,Central,7.6,2.6,Low,Yes,270,2,2024-06-28
F0287,North,6.5,1.9,Medium,Yes,363,2,2024-10-12
F0288,Central,9.7,3.2,Medium,Yes,201,2,2024-12-20
F0289,East,8.2,3.7,Medium,Yes,212,1,2024-12-30
F0290,North,6.7,1.9,Low,Yes,144,3,2024-07-27
F0291,Central,4.6,3.5,Low,Yes,254,2,2024-04-07
F0292,Central,7.6,3.2,Low,Yes,276,1,2024-10-28
F0293,North,5.3,1.5,High,No,84,1,2024-03-07
F0294,East,4.4,4.9,Low,Yes,165,1,2024-04-01
F0295,Central,6.6,4.3,Medium,Yes,365,1,2024-08-24
F0296,West,7.4,2.0,High,Yes,73,3,2024-12-07
F0297,East,8.9,2.3,Low,Yes,166,1,2024-02-08
F0298,Central,7.4,3.9,High,Yes,183,0,2024-10-28
F0299,Central,8.2,2.4,Medium,Yes,386,2,2024-10-15
F0300,North,5.2,0.8,Medium,Yes,253,1,2024-02-25
F0301,North,7.0,4.3,Low,No,348,2,2024-03-06
F0302,North,7.2,3.0,Low,No,401,4,2024-04-11
F0303,South,8.3,5.3,Low,Yes,328,0,2024-07-27
F0304,North,,3.4,Low,Yes,106,2,2024-11-05
F0305,North,8.2,3.2,Low,Yes,26,1,2024-01-11
F0306,South,6.2,6.4,Low,Yes,274,1,2024-11-10
F0307,West,7.5,2.8,Low,Yes,411,3,2024-03-11
F0308,East,7.6,1.9,Low,Yes,82,1,2024-10-15
F0309,South,5.1,3.3,High,Yes,316,3,2024-09-10
F0310,Central,7.3,4.4,Medium,Yes,343,0,2024-02-04
F0311,West,6.5,1.6,Low,No,311,2,2024-08-10
F0312,West,4.1,1.9,Medium,Yes,232,3,2024-08-29
F0313,Central,8.4,3.5,Low,Yes,421,2,2024-02-21
F0314,West,6.5,0.0,Medium,Yes,354,0,2024-11-24
F0315,North,5.7,1.7,Low,Yes,120,1,2024-03-10
F0316,North,,4.0,Low,No,168,1,2024-11-15
F0317,Central,7.2,2.3,Low,Yes,304,0,2024-09-25
F0318,East,9.3,1.0,High,Yes,369,1,2024-05-21
F0319,North,6.8,5.3,Medium,Yes,487,1,2024-12-30
F0320,East,7.7,1.3,Low,Yes,310,2,2024-07-27
F0321,South,9.1,2.4,High,Yes,418,1,2024-04-06
F0322,East,,2.6,High,Yes,154,1,2024-12-29
F0323,East,8.6,3.1,Low,Yes,461,2,2024-10-16
F0324,South,6.3,2.6,Medium,Yes,441,6,2024-09-15
F0325,East,8.2,2.9,High,Yes,271,1,2024-01-21
F0326,East,6.9,3.1,Medium,Yes,238,0,2024-01-30
F0327,Central,8.6,2.9,Low,Yes,56,0,2024-06-21
F0328,West,5.5,3.1,Medium,Yes,267,3,2024-11-01
F0329,West,5.8,0.1,High,Yes,338,2,2024-12-03
F0330,North,8.9,3.5,Medium,No,490,0,2024-03-14
F0331,South,6.7,1.3,Low,Yes,417,1,2024-08-06
F0332,Central,6.5,0.4,Medium,Yes,240,2,2024-10-24
F0333,South,7.1,4.7,Low,Yes,157,1,2024-05-07
F0334,East,6.0,1.5,Medium,Yes,314,2,2024-03-03
F0335,Central,9.0,3.2,Low,Yes,241,3,2024-09-19
F0336,West,5.1,2.1,Medium,Yes,172,4,2024-11-28
F0337,Central,6.8,2.2,High,Yes,156,1,2024-07-26
F0338,North,7.5,3.6,Medium,No,254,1,2024-08-02
F0339,East,6.8,1.7,Medium,Yes,106,2,2024-07-03
F0340,West,5.8,3.4,Low,No,154,0,2024-02-26
F0341,South,5.7,3.5,Medium,Yes,429,0,2024-10-23
F0342,East,7.6,4.4,Low,Yes,471,1,2024-12-14
F0343,Central,5.5,2.6,Low,No,345,3,2024-10-11
F0344,West,8.0,4.3,Low,Yes,46,1,2024-08-23
F0345,South,4.7,5.1,Low,Yes,277,0,2024-06-10
F0346,North,6.2,4.9,Medium,Yes,211,1,2024-12-06
F0347,North,7.1,3.7,Low,Yes,417,3,2024-09-01
F0348,South,5.1,3.5,Low,Yes,219,1,2024-08-14
F0349,Central,8.0,6.4,Low,Yes,138,3,2024-08-02
F0350,South,7.0,5.7,Medium,Yes,420,1,2024-01-30
F0351,Central,5.4,2.1,Low,No,343,2,2024-05-03
F0352,South,4.7,4.1,Medium,Yes,104,2,2024-03-13
F0353,West,4.7,3.7,Low,Yes,-50,1,2024-03-06
F0354,East,7.1,3.1,Low,Yes,134,3,2024-07-31
F0355,Central,5.3,3.2,Low,Yes,407,0,2024-07-20
F0356,East,5.0,3.6,Low,No,188,0,2024-09-04
F0357,Central,6.7,4.1,Medium,Yes,356,3,2024-04-28
F0358,Central,10.0,3.3,Medium,Yes,216,3,2024-02-23
F0359,West,7.4,3.4,Low,Yes,431,4,2024-10-05
F0360,West,8.1,4.7,High,Yes,263,0,2024-08-22
F0361,Central,7.3,3.4,Medium,Yes,181,0,2024-11-04
F0362,Central,,3.7,Low,Yes,253,1,2024-08-23
F0363,South,5.0,4.2,Low,Yes,192,2,2024-08-28
F0364,East,6.4,5.0,Low,Yes,341,1,2024-09-20
F0365,North,7.4,4.5,Low,Yes,24,0,2024-04-05
F0366,North,7.0,3.5,Low,Yes,211,2,2024-03-31
F0367,West,6.7,3.2,Low,Yes,353,0,2024-06-26
F0368,North,6.0,1.5,Medium,No,129,1,2024-04-08
F0369,West,6.6,3.4,Low,Yes,433,3,2024-12-07
F0370,Central,5.8,1.8,Low,Yes,42,0,2024-02-24
F0371,North,3.4,1.8,High,Yes,221,0,2024-06-06
F0372,West,5.2,3.8,Low,No,47,3,2024-07-29
F0373,South,7.7,2.9,Low,Yes,444,1,2024-04-15
F0374,Central,9.3,3.6,High,Yes,31,5,2024-04-25
F0375,Central,9.7,2.2,Medium,No,415,1,2024-10-16
F0376,East,7.1,4.4,Low,Yes,41,1,2024-08-08
F0377,East,8.3,3.2,High,Yes,388,2,2024-12-16
F0378,West,8.4,4.4,Low,Yes,412,0,2024-09-17
F0379,East,6.0,3.8,Medium,Yes,194,1,2024-07-29
F0380,West,4.5,3.2,Low,Yes,386,2,2024-08-28
F0381,North,7.0,2.4,Low,Yes,398,6,2024-08-11
F0382,West,4.4,3.0,Low,Yes,127,0,2024-08-01
F0383,East,6.5,4.0,Medium,Yes,314,2,2024-07-31
F0384,West,7.9,3.8,Low,No,427,4,2024-05-03
F0385,East,4.9,1.6,High,Yes,477,2,2024-08-09
F0386,South,7.0,4.2,High,No,89,1,2024-09-22
F0387,North,8.9,2.7,Medium,Yes,88,1,2024-10-09
F0388,East,7.5,4.0,High,Yes,258,1,2024-05-16
F0389,Central,7.8,2.2,Low,Yes,401,2,2024-06-04
F0390,North,8.4,3.8,Low,Yes,71,2,2024-06-28
F0391,East,9.6,2.0,High,Yes,230,3,2024-07-05
F0392,East,7.2,3.2,Medium,Yes,471,2,2024-09-22
F0393,North,8.8,2.6,Low,Yes,141,1,2024-02-13
F0394,East,6.9,2.7,Medium,Yes,319,2,2024-09-09
F0395,West,6.2,2.3,Low,Yes,35,2,2024-07-06
F0396,West,7.5,2.8,High,Yes,334,1,2024-11-26
F0397,Central,6.1,0.9,High,Yes,465,2,2024-11-08
F0398,East,6.1,4.1,Medium,Yes,421,0,2024-05-30
F0399,East,6.1,4.2,High,Yes,40,1,2024-01-31
F0400,Central,3.6,2.5,Low,Yes,260,0,2024-09-13
F0401,South,7.2,1.3,Low,Yes,434,2,2024-11-27
F0402,West,5.1,2.2,Medium,Yes,449,0,2024-01-14
F0403,North,6.8,4.1,Medium,No,203,1,2024-02-20
F0404,South,9.2,3.8,Low,No,162,0,2024-08-27
F0405,West,6.2,2.6,Low,Yes,449,0,2024-06-14
F0406,East,6.2,4.1,Low,Yes,238,3,2024-07-03
F0407,North,9.0,1.8,Low,No,170,2,2024-07-29
F0408,West,7.8,2.3,Low,Yes,428,4,2024-06-15
F0409,East,8.5,3.6,Low,No,339,2,2024-12-23
F0410,Central,6.5,2.9,Medium,Yes,344,1,2024-04-14
F0411,West,8.1,2.3,Low,Yes,195,3,2024-09-05
F0412,Central,6.0,0.0,High,Yes,443,2,2024-02-29
F0413,Central,6.0,3.8,Low,No,180,1,2024-08-05
F0414,North,7.9,3.4,Low,Yes,289,3,2024-07-06
F0415,North,6.1,0.9,Medium,Yes,330,0,2024-08-21
F0416,East,8.2,3.7,Medium,Yes,256,2,2024-09-26
F0417,East,10.0,3.0,Low,Yes,392,4,2024-05-12
F0418,East,4.5,3.3,High,Yes,363,2,2024-11-14
F0419,West,5.9,4.1,Low,Yes,87,1,2024-12-19
F0420,South,8.7,2.1,Low,No,293,1,2024-01-04
F0421,North,6.8,3.9,Medium,Yes,60,5,2024-12-11
F0422,West,8.7,3.8,Low,Yes,447,0,2024-04-05
F0423,South,5.5,3.9,Medium,No,134,1,2024-04-12
F0424,Central,7.5,5.0,Medium,Yes,369,1,2024-05-01
F0425,North,6.8,3.8,Low,Yes,90,0,2024-01-21
F0426,West,7.2,2.3,High,Yes,75,1,2024-08-25
F0427,West,7.5,5.2,Low,Yes,136,0,2024-03-20
F0428,South,5.2,1.7,Low,Yes,142,0,2024-08-18
F0429,North,5.4,2.4,Low,Yes,463,1,2024-01-19
F0430,South,9.1,1.8,Low,No,492,1,2024-11-23
F0431,South,7.4,2.9,Medium,Yes,455,3,2024-11-10
F0432,Central,7.2,4.3,Medium,Yes,83,1,2024-09-16
F0433,Central,6.9,4.6,Low,Yes,316,2,2024-05-10
